Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,5,,,24701,Sylvia Ratnasamy,4,Computer Science,168,1,A,Letter Grade,A+,Internet Arch
2,42,,,24701,Sylvia Ratnasamy,4,Computer Science,168,1,A,Letter Grade,A,Internet Arch
3,61,,,24701,Sylvia Ratnasamy,3.7,Computer Science,168,1,A,Letter Grade,A-,Internet Arch
4,64,,,24701,Sylvia Ratnasamy,3.3,Computer Science,168,1,B,Letter Grade,B+,Internet Arch
5,58,,,24701,Sylvia Ratnasamy,3,Computer Science,168,1,B,Letter Grade,B,Internet Arch
6,59,,,24701,Sylvia Ratnasamy,2.7,Computer Science,168,1,B,Letter Grade,B-,Internet Arch
7,55,,,24701,Sylvia Ratnasamy,2.3,Computer Science,168,1,C,Letter Grade,C+,Internet Arch
8,37,,,24701,Sylvia Ratnasamy,2,Computer Science,168,1,C,Letter Grade,C,Internet Arch
9,9,,,24701,Sylvia Ratnasamy,1.7,Computer Science,168,1,C,Letter Grade,C-,Internet Arch
13,3,,,24701,Sylvia Ratnasamy,0,Computer Science,168,1,F,Letter Grade,F,Internet Arch
22,4,,,24701,Sylvia Ratnasamy,,Computer Science,168,1,Credit,Non-Letter Grade,Pass,Internet Arch
27,5,,,24701,Sylvia Ratnasamy,,Computer Science,168,1,No Credit,Non-Letter Grade,Not Pass,Internet Arch
2,1,,,25650,David Charron,4,Computer Science,194,903,A,Letter Grade,A,Special Topics
3,2,,,25650,David Charron,3.7,Computer Science,194,903,A,Letter Grade,A-,Special Topics
4,3,,,25650,David Charron,3.3,Computer Science,194,903,B,Letter Grade,B+,Special Topics
5,5,,,25650,David Charron,3,Computer Science,194,903,B,Letter Grade,B,Special Topics
6,2,,,25650,David Charron,2.7,Computer Science,194,903,B,Letter Grade,B-,Special Topics
2,2,,,25651,Emily Rice,4,Computer Science,194,902,A,Letter Grade,A,Special Topics
3,5,,,25651,Emily Rice,3.7,Computer Science,194,902,A,Letter Grade,A-,Special Topics
